recipe_type,recipe_name,servings,calories,description,ingredients,recipe_method,picture_url
dinner,"Spaghetti Squash Nests with Feta, Tomatoes & Balsamic Drizzle",4,306,"Nests of tender spaghetti squash with notes of garlic and herbs are filled with perfectly roasted tomatoes and golden-browned feta. Balsamic glaze adds extra acidity and sweetness to every bite. A very sharp chef’s knife is the best way to cut the spaghetti squash into even rounds. If the squash has a particularly tough skin, pierce it with a fork in 4 or 5 different places and microwave for 3 to 4 minutes to soften it for slicing.","[""1 large spaghetti squash (about 3 pounds)"", ""4 tablespoons extra-virgin olive oil"", ""2 tablespoons minced garlic"", ""1/2 teaspoon dried oregano"", ""1/2 teaspoon grated lemon zest"", ""1/4 teaspoon ground pepper"", ""1/4 teaspoon crushed red pepper"", ""3 cups cherry tomatoes"", ""4 ounces feta cheese, cut into 1/2-inch cubes"", ""1/8 teaspoon salt"", ""2 tablespoons balsamic glaze"", ""2 tablespoons thinly sliced fresh basil""]","[""Preheat oven to 425°F. Trim ends from spaghetti squash; cut the squash crosswise into 4 equal rounds, about 1½ inches thick. Scoop out and discard seeds. Place the squash rounds on a large rimmed baking sheet."", ""Whisk 4 tablespoons oil, 2 tablespoons garlic, 1/2 teaspoon each oregano and lemon zest and 1/4 teaspoon each black pepper and crushed red pepper together in a medium bowl until combined. Drizzle the squash rounds with 2 tablespoons of the mixture."", ""Add 3 cups tomatoes and 4 ounces feta cubes to the bowl with the remaining 2 tablespoons oil mixture; gently toss until well coated. Spread the tomato-feta mixture in an even layer around the squash. Roast until the squash is fork-tender and the tomatoes are wrinkled, 35 to 40 minutes."", ""Using a fork, shred the center of each squash round into long strands, creating a nest with about a 1/4-inch border. Divide the roasted tomato-feta mixture among the squash nests (about 1/4 cup each). Sprinkle the nests with 1/8 teaspoon salt; drizzle with 2 tablespoons balsamic glaze (1½ teaspoons each) and sprinkle with 2 tablespoons basil.""]",d1
dinner,General Tso’s Cauliflower,4,174,"This plant-based version of General Tso’s chicken is the perfect weeknight meal, swapping chicken for cauliflower with a boost of vibrant green color and gut-healthy fiber coming from edamame. Serve it over brown rice or whole-wheat noodles to sop up any leftover sauce.","[""1/2 cup water"", ""2 tablespoons hoisin sauce"", ""1 tablespoon reduced-sodium soy sauce or tamari"", ""1 tablespoon Shaoxing rice wine or dry sherry"", ""1 tablespoon rice vinegar"", ""1 tablespoon cornstarch"", ""3 tablespoons canola oil"", ""4 cups small cauliflower florets"", ""2 scallions, sliced"", ""2 cloves garlic, minced"", ""1 cup frozen shelled edamame, thawed"", ""Pinch of crushed red pepper (optional)""]","[""Combine 1/2 cup water, 2 tablespoons hoisin sauce, and 1 tablespoon each of soy sauce (or tamari), Shaoxing rice wine (or sherry), rice vinegar, and cornstarch in a small bowl."", ""Heat 3 tablespoons oil in a large nonstick skillet over medium-high heat. Add 4 cups cauliflower; cook, stirring occasionally, until beginning to brown, 4 to 6 minutes."", ""Add 2 sliced scallions and 2 minced garlic cloves; cook, stirring, until fragrant, about 15 seconds."", ""Add 1 cup edamame; cook, stirring often, until heated through, 2 to 3 minutes."", ""Whisk the reserved sauce and add it to the pan; cook, stirring, until the sauce is thick and coating the cauliflower, about 1 minute."", ""Serve sprinkled with a pinch of crushed red pepper, if desired.""]",d2
dinner,Creamy Pesto Shrimp with Gnocchi & Peas,4,398,"This speedy dinner recipe combines shrimp with pillowy gnocchi, pesto and peas in a creamy sauce. Feel free to substitute the peas with other veggies such as broccoli or asparagus. For a bit of heat, sprinkle in some crushed red pepper, or garnish with grated Parmesan cheese to enhance the savory flavor.","[""2 tablespoons extra-virgin olive oil, divided"", ""1 (12 ounce) package refrigerated potato gnocchi"", ""8 ounces large peeled and deveined raw shrimp (about 8), patted dry"", ""1 cup frozen peas"", ""1/3 cup half-and-half plus 2 tablespoons, divided"", ""1/2 teaspoon ground pepper"", ""1/4 cup refrigerated basil pesto""]","[""Heat 1 tablespoon oil in a large nonstick skillet over medium heat. Add gnocchi; cook, stirring occasionally, until golden brown in spots and plump, 8 to 10 minutes. Transfer to a bowl. Do not wipe the pan clean."", ""Heat the remaining 1 tablespoon oil in the pan over medium heat. Add shrimp; cook, stirring often, until pink on the outside but translucent in the center, about 2 minutes."", ""Add peas; cook, stirring constantly, until just starting to soften, about 1 minute."", ""Stir in the reserved gnocchi, 1/3 cup half-and-half and pepper; cook until slightly thickened, about 2 minutes."", ""Remove from heat; stir in pesto and the remaining 2 tablespoons half-and-half. Divide the mixture among 4 shallow bowls.""]",d3
dinner,Roasted Sweet Potato & Beet Sandwiches,4,353,"These hearty sandwiches are piled high with veggies—including earthy roasted beets and sweet potatoes, lemony arugula and quick-pickled onions—for a satisfying lunch or dinner. We use a whole-wheat baguette, but whole-wheat buns would work as well, if you prefer. Any color of beet would be delicious—try golden or Chioggia if you want to avoid the stains that red beets can leave.","[""2 cups sliced sweet potatoes"", ""2 cups sliced peeled beets"", ""3 tablespoons extra-virgin olive oil, divided"", ""1/4 teaspoon salt plus a pinch, divided"", ""1 teaspoon ground pepper plus more to taste, divided"", ""1/2 cup thinly sliced red onion"", ""1/2 cup distilled white vinegar"", ""1/2 cup whole-milk plain strained (Greek-style) yogurt"", ""1/4 cup crumbled feta cheese"", ""4 cups baby arugula, baby kale or thinly sliced kale"", ""1 tablespoon lemon juice"", ""1 whole-wheat baguette, cut into quarters, halved and toasted, if desired""]","[""Preheat oven to 400°F."", ""Toss sweet potatoes, beets, 2 tablespoons oil, and 1/4 teaspoon each salt and pepper in a medium bowl. Spread on a large baking sheet. Roast until tender, about 20 minutes."", ""Meanwhile, combine onion and vinegar in a small bowl. Mix yogurt, feta, and ground pepper to taste in another small bowl."", ""Combine arugula (or kale), lemon juice, and the remaining 1 tablespoon oil and pinch of salt in the medium bowl. Massage gently with clean hands."", ""Drain the onion. Arrange the sweet potatoes and beets on baguette bottoms. Top with the greens and onion. Spread the yogurt mixture on the cut side of baguette tops; place spread-side down on the sandwich bottoms.""]",d4
dinner,Melting Cherry Tomato & Mozzarella Pasta,4,418,"This simple yet delicious pasta dish combines cherry tomatoes with mozzarella, highlighting their natural sweetness and mozzarella’s creamy, gooey texture. Mozzarella pearls are the perfect size for mixing into the finished dish. If you can’t find them, chopped fresh mozzarella will work well too.","[""8 ounces whole-wheat rotini or other short tube pasta"", ""3 tablespoons extra-virgin olive oil"", ""4 cloves garlic, minced"", ""1/4 -1/2 teaspoon crushed red pepper"", ""1 pound cherry tomatoes (about 3 cups)"", ""3/4 teaspoon salt"", ""1/2 teaspoon Italian seasoning"", ""1/4 teaspoon ground pepper"", ""1/3 cup chopped fresh basil, plus more for garnish"", ""1 tablespoon balsamic glaze, plus more for drizzling"", ""1 cup halved mozzarella pearls""]","[""Bring a large saucepan of water to a boil. Add pasta and cook according to package directions. Reserve 1/2 cup cooking water, then drain the pasta."", ""Heat oil in a large skillet over medium-high heat. Add garlic and crushed red pepper; cook, stirring, until fragrant, about 1 minute."", ""Add tomatoes, salt, Italian seasoning, pepper, and the reserved pasta water. Bring to a lively simmer and cook, stirring occasionally and adjusting heat as needed, until the tomatoes burst and the sauce has thickened, 10 to 12 minutes. Remove from heat."", ""Add the pasta, basil, and balsamic glaze; stir to combine. Stir in mozzarella. Garnish with basil and drizzle with balsamic glaze, if desired.""]",d5
dinner,Sheet-Pan Poblano-&-Corn Chicken Fajitas,4,500,"These sheet-pan poblano-and-corn chicken fajitas are seasoned with mild ancho chile powder, paprika and cumin. The chicken and vegetables cook on a sheet pan under the broiler so you can forget working over a hot stove or grill to get dinner on the table fast. Plus, with only one pan, cleanup is a breeze!","[""3 tablespoons canola oil"", ""1 tablespoon ancho chile powder"", ""2 teaspoons ground cumin"", ""2 teaspoons paprika"", ""1 teaspoon garlic powder"", ""1 teaspoon salt"", ""1 pound boneless, skinless chicken breasts"", ""3 large poblano peppers, seeded and sliced into 1/2-inch-thick strips"", ""1 medium yellow onion, cut into 1/2-inch-thick slices"", ""1 ear corn, shucked"", ""8 (6-inch) fajita-size corn or flour tortillas, warmed"", ""1 medium ripe avocado, pitted and sliced"", ""1/4 cup sour cream"", ""1/4 cup chopped fresh cilantro"", ""Lime wedges for serving""]","[""Preheat oven to broil, with oven rack 7 to 8 inches from heat. Line a large rimmed baking sheet with foil."", ""Stir oil, chile powder, cumin, paprika, garlic powder and salt together in a large bowl; set aside."", ""Cut chicken breasts in half horizontally (to make chicken cutlets), then cut crosswise into strips. Place the chicken in the bowl with the spice mixture and toss to coat. Arrange the chicken in an even layer on one side of the prepared baking sheet."", ""Add poblanos and onion to the bowl and toss with any remaining spice mixture; arrange in an even layer on the baking sheet. Place corn on the baking sheet."", ""Broil until the chicken is lightly charred and cooked through, 7 to 8 minutes. Transfer the chicken to a plate and tent with foil to keep warm."", ""Spread the poblanos and onion out on the baking sheet; turn the corn. Broil until the vegetables are charred and tender, about 5 more minutes."", ""Cut the kernels from the corn cob. Toss the corn kernels with the poblanos and onion."", ""Top tortillas with chicken, vegetables, avocado, sour cream, and cilantro. Serve with lime wedges, if desired.""]",d6
dinner,Chicken Milanese with Arugula-Cherry Tomato Salad,4,273,"Chicken Milanese, referring to the city of Milan, Italy, where the dish is believed to have originated, features breaded and pan-fried chicken cutlets usually served with a side salad and a generous squeeze of lemon. Here we stick (mostly) to tradition, but we skip the pan-frying in favor of cooking the chicken in the oven. Preheating the pan helps get a nice crispy crust on one side, so it’s important not to skip that step.","[""1/2 cup panko breadcrumbs, preferably whole-wheat"", ""1/4 cup finely grated Parmesan cheese"", ""1 teaspoon Italian seasoning"", ""1 teaspoon onion powder"", ""1 large egg"", ""1 lemon, zested and then cut into wedges"", ""4 (4-ounce) chicken cutlets"", ""1/4 teaspoon salt plus 1/8 teaspoon, divided"", ""1/4 teaspoon ground pepper plus 1/8 teaspoon, divided"", ""Cooking spray"", ""1 tablespoon extra-virgin olive oil"", ""1 tablespoon white-wine vinegar"", ""5 cups packed arugula"", ""1 cup cherry tomatoes, halved""]","[""Place a large rimmed baking sheet in the oven. Preheat to 450°F."", ""Stir panko, Parmesan, Italian seasoning, and onion powder together in a shallow dish. Whisk egg and lemon zest together in another shallow dish. Sprinkle chicken cutlets with 1/4 teaspoon each salt and pepper."", ""Dip 1 cutlet in the egg mixture, coating both sides. Transfer to the panko mixture, coating generously and pressing to adhere. Repeat with the remaining cutlets."", ""Remove the hot baking sheet from the oven; coat with cooking spray. Coat the dredged cutlets with cooking spray; place on the pan, sprayed-side down. Coat the tops with more cooking spray."", ""Bake, turning once, until browned and an instant-read thermometer inserted in the thickest parts registers 165°F, about 15 minutes."", ""Meanwhile, whisk oil, vinegar, and the remaining 1/8 teaspoon each salt and pepper in a large bowl. Add arugula and tomatoes; toss to coat."", ""Serve the chicken with the salad and lemon wedges.""]",d7
dinner,Shrimp Lettuce Wraps,4,316,"Enjoy these shrimp lettuce wraps filled with crisp veggies and juicy shrimp sautéed with garlic and soy sauce. This light and flavorful dish is perfect for a weeknight meal or weekend gathering. Sambal oelek, a spicy chile paste known for its vibrant red color and intense heat, adds an extra kick. Reduce or omit it to adjust the heat to your liking.","[""2 tablespoons extra-virgin olive oil"", ""8 ounces peeled, deveined raw medium shrimp (41-50 count)"", ""1 tablespoon reduced-sodium soy sauce, divided"", ""2 1/2 teaspoons grated garlic, divided"", ""1/3 cup light coconut milk, well shaken and stirred"", ""1/4 cup smooth natural peanut butter"", ""2 tablespoons hoisin sauce"", ""1 tablespoon lime juice"", ""1 1/2 teaspoons sugar"", ""1 teaspoon sambal oelek"", ""1/2 teaspoon grated fresh ginger"", ""16 leaves butter lettuce"", ""2 medium red bell peppers, cut into thin strips (about 2 cups)"", ""2 medium carrots, peeled and cut into thin strips (about 1 cup)"", ""1 medium red onion, thinly sliced (about 1 cup)"", ""2 tablespoons chopped unsalted dry-roasted peanuts"", ""1/4 cup fresh cilantro leaves""]","[""Heat oil in a large skillet over medium heat. Add shrimp in a single layer; cook, undisturbed, until slightly pink on 1 side, about 2 minutes. Add 1 1/2 teaspoons each soy sauce and garlic; toss until well coated. Cook, stirring often, until cooked through, about 2 minutes. Transfer to a plate with the pan drippings."", ""Whisk coconut milk, peanut butter, hoisin, lime juice, sugar, sambal oelek, ginger, and the remaining 1 teaspoon garlic and 1 1/2 teaspoons soy sauce together in a medium bowl until smooth."", ""Make 8 stacks of 2 lettuce leaves each. Divide the shrimp, bell peppers, carrots, onion, and peanuts evenly among the lettuce cups."", ""Top with cilantro. Serve with the peanut sauce.""]",d8
dinner,Sheet-Pan Salmon with Crispy Quinoa,4,600,"Enjoy a complete protein-rich dinner cooked on just two baking sheets for easy cleanup with this salmon, roasted tomato and quinoa recipe. Baked quinoa adds texture and crunch to the dish. After the quinoa finishes cooking, fluff it with a fork to release steam and encourage it to crisp up as it sits. Packages of precooked quinoa streamline the prep, but if you have leftover quinoa, it works just as well.","[""4 (4.4-ounce) packages precooked microwaveable white and red quinoa (about 2 3/4 cups)"", ""5 tablespoons extra-virgin olive oil, divided"", ""3 cups cherry tomatoes"", ""3 tablespoons drained nonpareil capers"", ""2 tablespoons balsamic vinegar"", ""1/4 teaspoon ground pepper"", ""4 (5-ounce) skin-on salmon fillets"", ""3/4 teaspoon salt, divided"", ""1/4 cup torn fresh basil leaves"", ""1/2 teaspoon refrigerated garlic paste"", ""1/2 teaspoon red-wine vinegar""]","[""Position oven racks in the top third and lower third; preheat to 425°F. Line 2 large rimmed baking sheets with parchment paper."", ""Place quinoa on one prepared baking sheet; drizzle with 2 tablespoons oil and toss to coat. Spread the quinoa into an even layer, covering the entire baking sheet."", ""On the other prepared baking sheet, toss tomatoes with capers, balsamic vinegar, pepper, and 2 tablespoons oil; spread the tomatoes around the outer edges of the pan. Place salmon fillets, evenly spaced, in the center of the pan. Drizzle the salmon with the remaining 1 tablespoon oil, and sprinkle with 1/4 teaspoon salt."", ""Place the quinoa mixture on the top rack and the salmon mixture on the lower rack. Bake until the tomatoes begin to burst and the salmon is cooked through, about 15 minutes."", ""Stir the quinoa with a fork; let stand for 5 minutes. Stir the remaining 1/2 teaspoon salt into the quinoa. Divide the quinoa and salmon among 4 plates."", ""Stir basil, garlic paste, and red-wine vinegar into the tomato mixture. Spoon the tomato mixture over the salmon.""]",d9
dinner,Agrodolce Zucchini & Chicken Pasta,4,470,"Replacing some of the pasta with spiralized zucchini allows for a totally twirlable dish with all the pleasure of noodles. The light lemony sauce and savory shredded chicken are comfort food at its finest, and a sweet-and-sour topping provides crunch, chew, herbal brightness and a palate awakener.","[""1 pound spiralized zucchini noodles (about 5 cups)"", ""6 ounces whole-wheat linguine, spaghetti or other long strand pasta"", ""1/4 cup golden raisins, coarsely chopped"", ""1 tablespoon cider vinegar"", ""1 tablespoon unsalted chicken broth plus 1/2 cup, divided"", ""1/4 cup toasted pine nuts"", ""2 tablespoons coarsely chopped flat-leaf parsley"", ""1 tablespoon chopped fresh chives"", ""1 tablespoon extra-virgin olive oil"", ""1 small shallot, minced, or 1/4 cup minced red onion"", ""12 ounces shredded skinless rotisserie chicken"", ""Pinch of crushed red pepper"", ""1/4 cup dry white wine or dry vermouth"", ""1 tablespoon grated lemon zest"", ""1/4 cup lemon juice"", ""1 tablespoon unsalted butter"", ""1/4 teaspoon salt"", ""Ground pepper to taste"", ""1/4 cup grated Parmesan cheese""]","[""Bring a large pot of water to a boil over high heat. Place zucchini in a large colander in the sink. Add pasta to the boiling water; cook according to package directions. Reserve 1/2 cup pasta-cooking water, then drain the pasta over the zucchini. Gently toss to combine and let stand until the zucchini softens, about 2 minutes."", ""Meanwhile, combine raisins, vinegar, and 1 tablespoon broth in a small bowl. Microwave for 1 minute. Stir in pine nuts, parsley, and chives."", ""Heat oil in a large pot over medium-high heat. Add shallot (or onion); cook, stirring, until translucent, about 1 minute. Add chicken and crushed red pepper; cook, stirring occasionally, until lightly browned with some crisping on the edges, about 3 minutes. Add wine (or vermouth); cook, scraping up the browned bits from the bottom of the pan, until mostly evaporated, about 30 seconds."", ""Add lemon zest, lemon juice, and the remaining 1/2 cup broth; bring to a simmer. Remove from heat, add butter and stir gently until it melts. Add 1/4 teaspoon salt and pepper to taste."", ""Transfer the pasta and zucchini to the pot with the sauce and toss gently to combine. If the pasta mixture seems dry, add some of the reserved pasta water. Season with more pepper, if desired. Serve topped with the raisin mixture and Parmesan.""]",d10
